profile,scale,input_width,input_height,output_width,output_height,frames,dtype,channels_last,end_to_end_fps,end_to_end_latency_ms,inference_ms_per_frame,postprocess_ms_per_frame,encode_ms_per_frame,metrics,comparison,video
baboon_x4_320x180_60f_fp16_preopt,4,320,180,1280,720,60,fp16,false,16.691108941152983,59.91213666663195,26.64617999944312,22.063996666717383,8.821741667270544,runs/span_video_stream/baboon_x4_320x180_60f_fp16/metrics.json,runs/span_video_stream/baboon_x4_320x180_60f_fp16/baboon_stream_comparison_x4.png,runs/span_video_stream/baboon_x4_320x180_60f_fp16/baboon_span_stream_x4.mp4
baboon_x4_320x180_60f_fp16_fastpost,4,320,180,1280,720,60,fp16,false,29.86145330815369,33.48798833333907,24.420340000384993,1.0792483336748169,5.876026666737744,runs/span_video_stream/baboon_x4_320x180_60f_fp16_fastpost/metrics.json,runs/span_video_stream/baboon_x4_320x180_60f_fp16_fastpost/baboon_stream_comparison_x4.png,runs/span_video_stream/baboon_x4_320x180_60f_fp16_fastpost/baboon_span_stream_x4.mp4
baboon_x4_320x180_60f_fp16_fastpost_cl,4,320,180,1280,720,60,fp16,true,27.443779359661786,36.43813000004835,27.43180166653474,0.9803299999475712,5.891174999972767,runs/span_video_stream/baboon_x4_320x180_60f_fp16_fastpost_cl/metrics.json,runs/span_video_stream/baboon_x4_320x180_60f_fp16_fastpost_cl/baboon_stream_comparison_x4.png,runs/span_video_stream/baboon_x4_320x180_60f_fp16_fastpost_cl/baboon_span_stream_x4.mp4
