epoch,step,loss,distill_loss,hr_loss,edge_loss,temporal_loss,teacher_psnr,student_psnr,seconds,steps_per_second
1,1,0.03741674,0.01797307,0.06220352,0.08894217,0.02612061,21.799275,21.482483,1.309,0.7640
1,2,0.04000038,0.02000790,0.06166285,0.10150953,0.02814860,21.864616,21.422619,1.432,1.3964
1,3,0.04083918,0.02294657,0.04395846,0.11926015,0.03357858,25.065883,24.098821,1.525,1.9672
1,4,0.05630676,0.02977221,0.07369914,0.15066472,0.04390714,20.777420,19.871889,1.613,2.4798
1,5,0.04166865,0.02321077,0.04576021,0.12145350,0.03438385,24.407402,23.397571,1.710,2.9246
1,6,0.04101366,0.02210080,0.04958007,0.11474466,0.03350976,23.455042,22.748724,1.799,3.3345
