frame,mse,mae,max_abs,psnr_db
0,0.0011310299159958959,0.02258395031094551,0.3603515625,29.465259077358077
1,0.0011092433705925941,0.022316399961709976,0.363525390625,29.54973158170261
2,0.0011011696187779307,0.02224985510110855,0.38623046875,29.58145779279355
3,0.001067757373675704,0.02192237600684166,0.369140625,29.71527420757507
4,0.0010359669104218483,0.021420344710350037,0.3291015625,29.84654116068297
5,0.0009705277043394744,0.020574156194925308,0.3857421875,30.129920628824927
6,0.0008995896787382662,0.019510501995682716,0.383544921875,30.459555359984456
7,0.0008807824924588203,0.01914381980895996,0.3193359375,30.551313265341395
8,0.0009146850788965821,0.01928183250129223,0.319580078125,30.387284054298064
9,0.0009549238020554185,0.019601376727223396,0.31689453125,30.200312814708372
10,0.0010217654053121805,0.020278582349419594,0.320068359375,29.90648805643151
11,0.0010437206365168095,0.020545996725559235,0.316162109375,29.814157295472413
12,0.0010512619046494365,0.020533721894025803,0.378173828125,29.782890731495264
13,0.0010388997616246343,0.02042590267956257,0.314453125,29.834263533796573
14,0.0010315573308616877,0.020277461037039757,0.316162109375,29.86506630235697
15,0.0010315573308616877,0.020277461037039757,0.316162109375,29.86506630235697
16,0.0010388997616246343,0.02042590267956257,0.314453125,29.834263533796573
17,0.0010512619046494365,0.020533721894025803,0.378173828125,29.782890731495264
18,0.0010437206365168095,0.020545996725559235,0.316162109375,29.814157295472413
19,0.0010217654053121805,0.020278582349419594,0.320068359375,29.90648805643151
20,0.0009549238020554185,0.019601376727223396,0.31689453125,30.200312814708372
21,0.0009146850788965821,0.01928183250129223,0.319580078125,30.387284054298064
22,0.0008807824924588203,0.01914381980895996,0.3193359375,30.551313265341395
23,0.0008995896787382662,0.019510501995682716,0.383544921875,30.459555359984456
24,0.0009705277043394744,0.020574156194925308,0.3857421875,30.129920628824927
25,0.0010359669104218483,0.021420344710350037,0.3291015625,29.84654116068297
26,0.001067757373675704,0.02192237600684166,0.369140625,29.71527420757507
27,0.0011011696187779307,0.02224985510110855,0.38623046875,29.58145779279355
28,0.0011092433705925941,0.022316399961709976,0.363525390625,29.54973158170261
29,0.0011310299159958959,0.02258395031094551,0.3603515625,29.465259077358077
