frame,mse,mae,max_abs,psnr_db,temporal_mse,temporal_mae,temporal_max_abs,temporal_psnr_db
0,0.0011300588957965374,0.022490961477160454,0.36083984375,29.468989216025108,,,,
1,0.0011082522105425596,0.02222387306392193,0.365478515625,29.553613937750946,0.0029679767321795225,0.03643798828125,0.460205078125,31.295994994129032
2,0.001100144349038601,0.022156910970807076,0.384033203125,29.585503276799553,0.002084956970065832,0.031304582953453064,0.437744140625,32.82962895018572
3,0.0010667036985978484,0.021830633282661438,0.3701171875,29.719561990708222,0.002135207876563072,0.03183133527636528,0.434326171875,32.726198284777126
4,0.0010347641073167324,0.02132529951632023,0.3299560546875,29.85158643991665,0.0020702662877738476,0.031352996826171875,0.41796875,32.86033781198146
5,0.0009690610459074378,0.020473938435316086,0.3857421875,30.13648863748339,0.001953777624294162,0.03034958429634571,0.447509765625,33.111848598048994
6,0.0008980718557722867,0.019409283995628357,0.38427734375,30.466889135365633,0.0018205872038379312,0.029033824801445007,0.46533203125,33.418485054001664
7,0.0008793479646556079,0.01904693990945816,0.318359375,30.558392372966598,0.0017690566601231694,0.028315143659710884,0.503173828125,33.54318248421197
8,0.0009136798908002675,0.019193965941667557,0.3212890625,30.392059333793373,0.0017756319139152765,0.028155043721199036,0.4931640625,33.52707049211655
9,0.0009543836349621415,0.01952245831489563,0.31689453125,30.202770162222205,0.0018389408942312002,0.02851150557398796,0.47265625,33.374922206117745
10,0.0010218985844403505,0.02021627314388752,0.32177734375,29.90592202443368,0.00196007895283401,0.02934868633747101,0.46728515625,33.097864260482474
11,0.0010442420607432723,0.02049318142235279,0.31787109375,29.811988179431328,0.002051726682111621,0.030030585825443268,0.4580078125,32.899404849645165
12,0.0010518775088712573,0.02048596180975437,0.380126953125,29.780348308273204,0.0021039682906121016,0.03033958189189434,0.4296875,32.79020801148525
13,0.0010397057048976421,0.020385896787047386,0.316162109375,29.83089573034015,0.002087988192215562,0.030133221298456192,0.422607421875,32.8233195297002
14,0.0010323247406631708,0.02023790217936039,0.31689453125,29.861836642464084,0.0019239773973822594,0.028241604566574097,0.434814453125,33.178600256271146
15,0.0010323247406631708,0.02023790217936039,0.31689453125,29.861836642464084,0.0,0.0,0.0,inf
16,0.0010397057048976421,0.020385896787047386,0.316162109375,29.83089573034015,0.0019239773973822594,0.028241604566574097,0.434814453125,33.178600256271146
17,0.0010518775088712573,0.02048596180975437,0.380126953125,29.780348308273204,0.002087988192215562,0.030133221298456192,0.422607421875,32.8233195297002
18,0.0010442420607432723,0.02049318142235279,0.31787109375,29.811988179431328,0.0021039682906121016,0.03033958189189434,0.4296875,32.79020801148525
19,0.0010218985844403505,0.02021627314388752,0.32177734375,29.90592202443368,0.002051726682111621,0.030030585825443268,0.4580078125,32.899404849645165
20,0.0009543836349621415,0.01952245831489563,0.31689453125,30.202770162222205,0.00196007895283401,0.02934868633747101,0.46728515625,33.097864260482474
21,0.0009136798908002675,0.019193965941667557,0.3212890625,30.392059333793373,0.0018389408942312002,0.02851150557398796,0.47265625,33.374922206117745
22,0.0008793479646556079,0.01904693990945816,0.318359375,30.558392372966598,0.0017756319139152765,0.028155043721199036,0.4931640625,33.52707049211655
23,0.0008980718557722867,0.019409283995628357,0.38427734375,30.466889135365633,0.0017690566601231694,0.028315143659710884,0.503173828125,33.54318248421197
24,0.0009690610459074378,0.020473938435316086,0.3857421875,30.13648863748339,0.0018205872038379312,0.029033824801445007,0.46533203125,33.418485054001664
25,0.0010347641073167324,0.02132529951632023,0.3299560546875,29.85158643991665,0.001953777624294162,0.03034958429634571,0.447509765625,33.111848598048994
26,0.0010667036985978484,0.021830633282661438,0.3701171875,29.719561990708222,0.0020702662877738476,0.031352996826171875,0.41796875,32.86033781198146
27,0.001100144349038601,0.022156910970807076,0.384033203125,29.585503276799553,0.002135207876563072,0.03183133527636528,0.434326171875,32.726198284777126
28,0.0011082522105425596,0.02222387306392193,0.365478515625,29.553613937750946,0.002084956970065832,0.031304582953453064,0.437744140625,32.82962895018572
29,0.0011300588957965374,0.022490961477160454,0.36083984375,29.468989216025108,0.0029679767321795225,0.03643798828125,0.460205078125,31.295994994129032
